Comments,Image,Avatar_URL,Date of Review,Name of Reviewer,Location,phmbo,phmbo1,qwuub_URL,Comment Title,Date of Stay,Response from hotel staff,Response time,Response comment,
"Tried out the newly renovated Royal Superior Room.  Overall it was an enjoyable stay, the room was recently renovated but lacked the bath as available in the lower cost deluxe rooms.  The recent renovation had modernised the room but needs snagging.  Broken door latch, cupboard doors not closing as catching on lower doors, tv kept going unresponsive and freezing (system not the signal) only 4 random Nespresso coffee pods for 2 people, shame about the bath but overall a nice room with a mini fridge but would never book this over a deluxe room again due to lack of bath, only noticeable difference was a small bottle of red wine, Nespresso machine and a desk.  Corridors had smoke alarms still taped over and emergency keys left in the emergency door buttons.   Breakfast in the new",,https://www.tripadvisor.co.uk/Profile/FamilyFromBristol,FamilyFromBristol wrote a review Feb 2019,FamilyFromBristol,"Bristol, United Kingdom",13 contributions,10 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r650098420-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Lost it’s polish and not Royal standard,Date of stay: February 2019,"Response from Heidi M, Front Office Manager at Bristol Marriott Royal Hotel
Responded 5 Feb 2019",Responded 5 Feb 2019,"Dear FamilyFromtBristol,  Thank you for taking the time to share your feedback.  From your comments I can clearly see that the service you received during your recent stay did not meet your expectations. For this, I sincerely apologize.  The experience you described is not characteristic of the level of service our associates strive to provide. I would love the opportunity to hear more about your recent stay in an effort to prevent this issue from occurring in the future.  Please let me know the best contact number and time to reach you, or feel free to contact me via phone anytime at 0117 9255100. I look forward to speaking with you in order to restore your confidence in the Bristol Marriott Royal Hotel.  Sincerely, Heidi Mobbs Front Office Manager Bristol Marriott Royal Hotel heidi.mobbs@marriotthotels.com 0117 9255100",
"I stayed in this hotel for one night on the 1st of February with my husband and parents due to our flight being cancelled. The check in at the hotel was simple / quick and stress free with friendly staff.   Both the swimming pool and hot tub were out of order much to our disappointment, although we were able to use the Sauna and Steam room.   The room itself, was located on the ground floor, and seemed as if it was a room that was not used very often. Despite the high number of extra guests in the hotel, there were dirty socks left in the wardrobe as well as a half-eaten cake. The bed, shower and room itself was fine, though could do with some modernisation (carpets in the hall).  We did use room service, and everything was as expected, professional and prompt and reasonably",,https://www.tripadvisor.co.uk/Profile/lewish725,LewisH wrote a review Feb 2019,LewisH,Zimbabwe,452 contributions,183 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r650082757-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Good location, a little dated.",Date of stay: February 2019,,,,
"For the price they charge I think staying somewhere else is better. I must say the rooms were good and clean. But thats about it. 1. One of the lift to bedrooms did not work so that means you wait for ever to get to your room. 2. The pool was out of action and it did no reflect on my price of booking. 3. The breakfast menu was limited, I have seen better menu in cheaper hotels. 4. You had to queue for breakfast even though there were empty tables because the hotel did not bother to put extra staff for sitting guests. 5. If you want espresso with breakfast it is extra not part of breakfast. 6. The front desk lacks trained staff as they had tough time checking me out.  I gave them a feedback and they said they will refund 20% of my stay which I accepted. But I feel that is not",,https://www.tripadvisor.co.uk/Profile/soumenmcardiff,Soumen Mandal wrote a review Feb 2019,Soumen Mandal,"Cardiff, United Kingdom",73 contributions,72 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r649469824-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Stay somewhere else,Date of stay: January 2019,"Response from Heidi M, Front Office Manager at Bristol Marriott Royal Hotel
Responded 1 Feb 2019",Responded 1 Feb 2019,"Good evening Soumen M  Thank you for sharing your feedback with us, I am sorry to hear that your experience was not what you expected. Please be assured that I have passed the feedback to the relevant departments to make sure that this issues are isolated.  Kindest regards,",
"Stayed here for a friend's 50th birthday, initial parking was a pain as spaces are tight and there are some inconsiderate people parking (who should be charged double for blocking spaces) but eventually found spaces three levels down.   Walking to the hotel from the car park was a little confusing as was a distinct lack of signs whilst some corridors were being painted. Parking prices are extortionate @£17 a night whilst staying there... Certainly NOT appealing!!... (Captive audience syndrome - make them pay over the odds because you can).  Check-in was a bit slow and they require a £50 deposit on the room which is pretty much their way of holding your money for payment for parking, refund of the balance is returned to your card  on departure. Even though my car registration was",,https://www.tripadvisor.co.uk/Profile/MarkyMark-Scunny,MarkyMark-Scunny wrote a review Jan 2019,MarkyMark-Scunny,"Scunthorpe, United Kingdom",45 contributions,31 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r648785772-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Lovely Hotel, but Pool and Jacuzzi out of action and expensive parking",Date of stay: January 2019,"Response from Heidi M, Front Office Manager at Bristol Marriott Royal Hotel
Responded 28 Jan 2019",Responded 28 Jan 2019,"Dear MarkyMark-Scunny  Thank you for choosing to stay at the Bristol Marriott Royal Hotel and providing your honest feedback.  Providing the highest level of hospitality is our number one priority and we sincerely apologize for falling short of meeting your expectations. As a teachable moment, we have shared your feedback with the appropriate hotel teams.  If you wish to discuss any of the matter's further please do not hesitate to call the hotel and ask fro myself or one of the other managers.  Once again, thank you for your valued feedback and we hope to serve you again whenever your travels bring you back to Bristol.  Sincerely,  Jess Oakley ",
"Stayed here for one night and chose this hotel purely for the location as we were going to a show at the hippodrome. We parked in the hotel car park and it’s very obvious the steps and corridors are being decorated. There were dirty dust sheets all over the floors and only ‘wet paint’ signs at the top by the hotel entrance,not as you enter from the car park . Not a great first impression..At reception we had to wait a long time to check in and were surprised we had to pay a £50 deposit. The lift is very slow and it doesn’t help when you have to wait For the next one because the house keepers are in there with their big trolleys. Our room was a long way from the lift and although it had recently been refurbished was very dark. The bathroom was very nice , clean and modern.",,https://www.tripadvisor.co.uk/Profile/shortyk05,shortyk05 wrote a review Jan 2019,shortyk05,"Patchway, United Kingdom",37 contributions,36 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r648535616-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Good location but .....,Date of stay: January 2019,"Response from Heidi M, Front Office Manager at Bristol Marriott Royal Hotel
Responded 27 Jan 2019",Responded 27 Jan 2019,"Hello Shortyk05  Thank you for choosing the Bristol Marriott Hotel and for your positive and constructive feedback of the hotel and the Miller and Carter restaurant.  Your feedback has been shared accordingly and we appreciate this information.  If you wish to discuss this any further please do not hesitate to call me at the hotel.  Kind regards,  Jess Oakley  AFOM",
Very attentive staff. Really great restaurant. Comfy bed and spacious room.  However we really enjoyed our 2 days there. Staff kept our luggage as we arrived earlier and really did attend to our needs . Would definitely stay there again.,,https://www.tripadvisor.co.uk/Profile/Jnapier77,James Napier wrote a review Jan 2019,James Napier,,2 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r647993859-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Perfect stay,Date of stay: November 2018,,,,
"First the positives, a very clean hotel, friendly staff and a feeling of luxury. However I do have a couple of ""niggles"" - we booked as two couples in two rooms based on a B & B basis and this was confirmed at check-in (which, by the way seemed to take a very long time) so imagine by surprise and embarrassment when we were informed at breakfast time that only one meal had been booked !, luckily I had the bill in my pocket which showed what we'd paid for, but how can this happen ?. Secondly the TV didn't work and we only discovered this in the morning, bit of a pain but that's life and we informed reception at departure. But all in all we'll be back next time we visit Bristol",,https://www.tripadvisor.co.uk/Profile/Y5648OObrianw,Brian W wrote a review Jan 2019,Brian W,"Somerset, United Kingdom",74 contributions,52 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r647628300-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"On the who very good, but .........",Date of stay: January 2019,,,,
"﻿""This is a lovely convenient hotel for the waterside area of Bristol"," I’d love to stay again but am anxious as I slept or not as is the case on the most uncomfortable bed. Full of rock hard lumps and not enough pillows or bedding. Very disappointing.""",,https://www.tripadvisor.co.uk/Profile/ruthk306,Ruth K wrote a review Jan 2019,Ruth K,"Lydbrook, United Kingdom",80 contributions,90 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r647423080-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Lovely hotel shame about the bed,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews.,"Response from Heidi M, Manager at Bristol Marriott Royal Hotel
Responded 22 Jan 2019",Responded 22 Jan 2019,This response is the subjective opinion of the management representative and not of Tripadvisor LLC.
"On arriving at the hotel (13th January 2019 for a 2 night business trip) from outside it looked impressive, parking was great and the hotel reception area certainly had a grand feel about it.   The fire alarm went off twice early hours so not great.   The room was freezing, the heating in the room did not work, had to request a heater. My room was on the mezzanine. Went go to the gym in the lift,  the sign said lower ground but guess what, no gym. Asked a member of staff to be told the sign was wrong, had to go up to ground floor walk across to reception and take that lift down to the gym. Please change the sign.   The staff I spoke with where very nice but the hotel seems to be a bit dysfunctional, you don’t get the feeling of efficiency.   There was a grand room being set up",,https://www.tripadvisor.co.uk/Profile/spiccou,spiccou wrote a review Jan 2019,spiccou,United Kingdom,13 contributions,3 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r647373491-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Has potential to be great but not there yet,Date of stay: January 2019,"Response from Heidi M, Manager at Bristol Marriott Royal Hotel
Responded 22 Jan 2019",Responded 22 Jan 2019,"Dear Spiccou  Thank you for your recent review of the hotel and for your feedback in regards to the issue you experienced with the heating. I will pass your feedback onto Miller and Carter in regards to the experience there.  I'm glad you found the wedding room to be beautiful and the staff nice.  If you would like to discuss this any further please do not hesitate to contact the hotel.  Kind regards,  Jess",
"Well, city centre hotels are always hit and miss. This one is well situated but needs some work.  It’s clearly a shadow of its former self.  The mix between modern and traditional doesn’t work. There’s some refurbishment ongoing and as a result the whole place just feels shabby.  But you get what you pay for so buyer beware.  But we didn’t bank on the fire alarm going off on the first night and then again on the second! Between 0400 and 0600 both night! We’ll not be going back.",,https://www.tripadvisor.co.uk/Profile/GingerArab,GingerArab wrote a review Jan 2019,GingerArab,"Emsworth, United Kingdom",42 contributions,23 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r647171163-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Fire alarm went off both nights!,Date of stay: January 2019,"Response from Heidi M, Front Office Manager at Bristol Marriott Royal Hotel
Responded 20 Jan 2019",Responded 20 Jan 2019,"Dear GingerArab,  Thank you for sharing your feedback with us. I will make sure that this incidents are taken care off and that they will not happen in the future.  Please let us know if you need anything else,  Regards",
"So I have stayed many times at this hotel. It is a very beautiful hotel but the only thing that does let it down is the noise outside. I had an exec room facing the road. But unfortunately on a Saturday night the bar over the road does not close until 3 am. So there was a lot of noise. Which made it near impossible to sleep and kept myself / wife and children up,",,https://www.tripadvisor.co.uk/Profile/marcstevens134,marcstevens134 wrote a review Jan 2019,marcstevens134,"Brighton, United Kingdom",9 contributions,5 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r645745678-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Great hotel shame about the noise outside,Date of stay: December 2018,"Response from Heidi M, Front Office Manager at Bristol Marriott Royal Hotel
Responded 15 Jan 2019",Responded 15 Jan 2019,"Good morning marcstevens134,  Thank you for sharing with us your feedback, which I have passed to our engineering department to make sure that the isolation in the rooms is correct. Please let me know in advance the next time that you want to stay with us and we will allocate you in a room facing other side of the building.  Kindest regards,",
"This is one of the best night stays I’ve had in a while. Everything was spot on. Stayed for one night for husband perfect.  The staff were lovely and put a little surprise in our room for him. The location is great....Parking was easy, arrival was quick & easy. Room was lovely.  Nothing was too much trouble!   Will be staying again ",,https://www.tripadvisor.co.uk/Profile/LauraD628,Laura B wrote a review Jan 2019,Laura B,"Wiltshire, United Kingdom",22 contributions,20 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r645573943-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Lovely place to stay,Date of stay: January 2019,,,,
"This was our first trip to Bristol and as such we decided to try what we believed would be a better standard of hotel, sadly we've had better experiences in budget hotels.  Arriving at the hotel first impressions are good, the building is grand and the on site parking is a bonus, it's reasonable in terms of the location and at the time of writing it was £17.00 for overnight parking .The lobby are is clean and well maintained, it has a high class feel to the hotel with a smart looking tea room and cocktail bar directly off the lobby area.   Staff were efficient and friendly and our room was ready early which was a bonus.  The room itself was the standard room on offer, it was clean and well maintained and the bed comfortable. It had basic amenities which was fine as we were",,https://www.tripadvisor.co.uk/Profile/Scargilla,Scargilla wrote a review Jan 2019,Scargilla,"Manchester, England, United Kingdom",37 contributions,27 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r645521478-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Disappointing experience.,Date of stay: January 2019,,,,
Arrived early so couldn't check into the room but fortunately on popping the toilet before heading into town we noticed that the pool and saunas were out of action. Having specifically booked this hotel to use these facilities we decided to ask if there was anything they could do. They immediately said they could check availability at the other Marriot and move us if we'd like. They managed to rearrange our booking for us to stay there instead which worked out really well.,,https://www.tripadvisor.co.uk/Profile/Fiona_Andy,Fiona_Andy wrote a review Jan 2019,Fiona_Andy,"London, United Kingdom",62 contributions,85 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r645483992-Bristol_Marriott_Royal_Hotel-Bristol_England.html,False start,Date of stay: January 2019,,,,
stayed for one night for our anniversary bit of a blip at first as our deluxe suite was not ready on time and we had a reservation at a nearby restaurant  after going back to the desk 3 times the manager upgraded our room and we got the key straight away the room was a king suite it was lovley the  breakfast next morning was very good cannot understand some of the reviews on here we found all of the staff very helpful and nice we will definatley be back,,https://www.tripadvisor.co.uk/Profile/teamanh,teaman h wrote a review Jan 2019,teaman h,"Newport, United Kingdom",9 contributions,15 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r645180547-Bristol_Marriott_Royal_Hotel-Bristol_England.html,great stay,Date of stay: January 2019,,,,
My daughter and her partner stayed here on 5th January for one night.  The first thing they discovered was that leisure facilities were not open ‘due to unforeseen circumstances’ maybe this should have been mentioned when booking (which was booked on 4th). Next a deposit of £50 was taken on her debit card in case of extras purchased to be refunded on check out .......she still has not received this payment back into her bank account (nothing extra spent) - in our own business when we refund a customer on their card it is almost immediately back in their bank account ......apparently this is different with this hotel?! I do not believe this is right and definitely not fair and their response was very dismissive.  Because of their treatment of our daughter my husband and I will,,https://www.tripadvisor.co.uk/Profile/Billybee1812,Adelee wrote a review Jan 2019,Adelee,,7 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r645092406-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Holding deposit!,Date of stay: January 2019,,,,
"Firstly when we arrived at the Hotel and proceeded down the entrance to the carpark. I realised we would be charged £17 for parking, this was not made clear on the website, I saw ""self parking"" and assumed there would be no valet parking. Check in was a bit confusing as most hotels allow 14:00 check ins, we arrived at 13:45 to be told we couldn't check in until 16:00, not a great hardship but we had travelled a while and could have used a freshen up, shower etc. Leisure suite was closed along with the pool due to ""unforeseen circumstances"". We were offered a free Taxi to another hotel for a shower/swim but we were on a schedule and couldn't fit an hours excursion into our itinerary. We attended our meeting and returned back to Bristol Marriott Royal, checked in and were",,https://www.tripadvisor.co.uk/Profile/colinhZ3057YI,Colin H wrote a review Jan 2019,Colin H,,1 contribution,2 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r644626818-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Try the Radisson blu,Date of stay: January 2019,,,,
"We always stay at this wonderful hotel ,a short walk from the harbour and main shopping area ,the rooms are light and airy and decorated tastefully,the staff are first class and the whole experience is just amazing ,we have tried various other hotels however this hotel is of a higher standard than most .....",,https://www.tripadvisor.co.uk/Profile/G32IYdeborahm,Deborah M wrote a review Jan 2019,Deborah M,"Neath, United Kingdom",47 contributions,40 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r644209647-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"This is our favourite place to stay in Bristol ,the surrounding area is just beautiful",Date of stay: May 2018,,,,
"We did one over night stay on our way top Cornwall. The rooms were clean and comfortable. We had dinner in the restaurant which was good, we arrived 1 hour late due to traffic and they kindly saved the table.",,https://www.tripadvisor.co.uk/Profile/V3322NPemmaw,Emma McIntosh wrote a review Jan 2019,Emma McIntosh,"Wilmslow, United Kingdom",4 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r643963874-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Good size rooms,Date of stay: October 2018,,,,
"We stayed one night on the 30th Dec, lovely looking hotel and great welcome at reception with very polite helpful staff. The room was very nice but as we were getting ready to use the spa the room started to vibrate, it sounded like a washing machine on spin. We left the room in the hopes it would stop and went to the spa. Again polite helpful staff but the facilities are extremely drab and dated. The pool was cold as they had had a leak through ceiling and had had to drain and refill, mops and buckets were left at end of pool, the jacuzzi was out of order, the room was cold and damp with paint peeling off of the walls and ceiling, not a pleasant spa experience.. On return to room, noise had not stopped, reported it to Simon the supervisor who looked into it, apparently the room",,https://www.tripadvisor.co.uk/Profile/Dream631825,Dream631825 wrote a review Jan 2019,Dream631825,,2 contributions,8 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r643533328-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Good but....,Date of stay: January 2019,,,,
Stayed here for family gathering before christmas ... only just reopened and still under renovation ...  Rooms clean and ok... perhaps next in line for refurbs?  note that everything NOT a bedroom is not actually controlled by Marriott ... thats all the bars and restaurants... its basically a marriott by concession.  However for central Bristol its a good hotel with excellent location and generally helpful and friendly staff.,,https://www.tripadvisor.co.uk/Profile/908RobertM,Robert M wrote a review Jan 2019,Robert M,"Grantham, United Kingdom",396 contributions,121 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r643508048-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Good City Centre option with very good dining,Date of stay: December 2018,,,,
"Booked a deal for family room to meet up with friends.. turned out to be decent value for money..   Great location, nice rooms, really nice bar area and great meal in steak restaurant in evening, realy nice helpfull and attentive staff.. Easy parking on site and reasonable price.   Pool out of action which was bit of shame but these things happen and alternative Marriott pool was an option.   Only one real negative...... Went to breakfast and was told on entering the restaurant that kids have to pay and were not included in price of room.. (this was not the case as clearly part of deal when booked) the realy uptight restaurant manager was not having any of it and because of her aggressive stance we didn’t even bother arguing.. simply said fine charge the room.. she seriously",,https://www.tripadvisor.co.uk/Profile/Tedd75,Tedd75 wrote a review Jan 2019,Tedd75,"New London, Connecticut",27 contributions,40 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r643383912-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Not bad for price paid,Date of stay: January 2019,,,,
"We can’t give the hotel an ‘excellent’ as the breakfast wasn’t good but as platinum elite members we had a fantastic upgrade and loved our one bedroom suite. Room was spotless, attractive, and very comfortable. Marriott Staff were very friendly and helpful. We requested a bottle opener which was brought to the room instantly.  Great location and parking on site (£16 per night). Room was very quiet even on NYE despite being so centrally located. Temp in room was spot on.  Breakfast choices particularly for fruit, pastries etc was limited. Coffee took a long time to arrive and wasn’t hot. But these were minor issues for us as we had a lovely three night stay. ",,https://www.tripadvisor.co.uk/Profile/karencA6283NY,Karen C wrote a review Jan 2019,Karen C,"Peterborough, United Kingdom",1182 contributions,366 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642783261-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Very enjoyable stat,Date of stay: December 2018,,,,
"Following our excellent stay two years ago, we returned to find this hotel failing the basics. Lack of food at breakfast  and waiting for our coffee to be served for over 20 minutes. The pool resembled a public lido with unsupervised kids breaking all rules. We booked this hotel specifically for the health centre facilities which were locked at 7pm on new year's eve, just before the adult session as an all of the sudden technical issue occurred. I could go on about the lack of staff and evident bad management. A waste of money and constant inconvenience. Glad we are departing tomorrow and as Marriott members we won't be returning.",,https://www.tripadvisor.co.uk/Profile/MI4R,MI4R wrote a review Dec 2018,MI4R,"Como, Italy",9 contributions,10 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642707439-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Horrible stay, bad management. This hotel is going downhill!",Date of stay: December 2018,,,,
"Would have had 5 out of 5 as usual but there was some work going on that meant there were no log fires lit and it was looking a bit tired. Staff could not be faulted, very friendly and professional. Do not like the idea of handing over £50 out of my bank account ""just in case you use any of the room services during your stay"". I don't expect my honesty to be questioned which is what this policy appears to do. I refused to allow this to happen and the reception did not insist on it. If you want my custom, don't ask me again for this, it is not respectful. The room was lovely as usual, luxurious and comfortable. Plenty of hot water and the heating was very welcome. We were shopping so it is a welcome courtesy to be able to leave our bags for dropping off and picking up when we",,https://www.tripadvisor.co.uk/Profile/claretdevon,claretdevon wrote a review Dec 2018,claretdevon,"Exeter, United Kingdom",16 contributions,21 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642663776-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Love this place and stay here nearly every year in November for Christmas shopping.,Date of stay: November 2018,,,,
"Positives: great old builiding with character. Nicely decorated inside. Rooms are your standard marriot hotel rooms. Negatives: room was not clean when we entered and never cleaned while there. Only bathroom and beds were made. Hair balls, tags from new clothes, dust was there from the beginning and never vacuumed or dusted. Ugly: a hotel of this price cannot have just one person at breakfast to do the sitting, take room numbers, take drink orders, and do some serving. It took us 35 minutesl! to be seated. We ate and finished before getting our coffee. That was for 2 days out of the 4 there. What was crazy was that tables were available. But one person only...as I said. For its. Price not acceptable. ",,https://www.tripadvisor.co.uk/Profile/marioscyprus,marioscyprus wrote a review Dec 2018,marioscyprus,"Larnaca, Cyprus",184 contributions,109 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642581304-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Looks great! ,Date of stay: December 2018,,,,
"This was my favourite hotel in Bristol. I used to love Swallow Hotels. Then they were taken over by Marriott. They destroyed the Swallow in Birmingham within a year and have been steadily ‘improving’ the Royal too. They have stripped out the character, painted the place brown and grey, replaced the room fittings with crap and sold out the restaurant and bar to Millers and Carter. It is truly awful, vulgar and uncomfortable whereas it used to be cosy and warm and welcoming. The staff are also now untrained children and judging by the upkeep, tidiness and cleanliness totally lacking leadership. The pool area was partly closed off, the pool I am told now opens at 8am tomorrow (yes a work day) and was poorly maintained, towels and litter everywhere, lighting poor, water cold and",,https://www.tripadvisor.co.uk/Profile/Toqiz,Jeremy J wrote a review Dec 2018,Jeremy J,"Abergavenny, United Kingdom",474 contributions,321 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642506964-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Just gets worse ,Date of stay: December 2018,"Response from Heidi M, Front Office Manager at Bristol Marriott Royal Hotel
Responded 31 Dec 2018",Responded 31 Dec 2018,"Dear Toqiz,  Thank you for sharing your feedback with us. I am sorry to hear that your experience was not as expected, must of all from a well experienced guest in our property.   I have passed your comments to the respective managers to make sure that this issues are isolated and will not happen again in the future.  Kindest regards,",
"Our room was cold and there was only a sheet on our bed. We asked for a duvet but received a smelly brown blanket instead. The swimming pool was closed for most of our stay and this was the reason why we had chosen the hotel in the first place.  The lift broke half way through our stay. On our last day we returned from a day out to discover the housekeeping hadn't been done and we had no toilet paper. Our room was dull, little natural light and dark brown walls. We left a day early due to being so uncomfortable. On a positive note the breakfast was very nice and when I complained on our departure we were refunded the cost of the car parking which was most appreciated. We will not be returning however. Expected so much more from a 4 star hotel.",,https://www.tripadvisor.co.uk/Profile/Claire23477,ClareW wrote a review Dec 2018,ClareW,,1 contribution,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642477051-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Disappointing,Date of stay: December 2018,,,,
We stayed here between Christmas and New Year as a night away from the children. Location was great and close to the part of Bristol we wanted to be (waterfront) for our food and drink visits. The room was comfortable and well decorated. My only concern was the wait for check in which was around 20 minutes. I think this may be a regular thing depending upon when you arrive as later on in the evening there was a similar challenge for those checking in then. ,,https://www.tripadvisor.co.uk/Profile/K3857JJdavidp,David P wrote a review Dec 2018,David P,"Solihull, United Kingdom",50 contributions,14 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642473778-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Great location unfortunately check in was a bit slow,Date of stay: December 2018,,,,
"Stayed for a Christmas break with our family. We booked two triple rooms. Each room had two double beds & were across the corridor from each other. Rooms were spacious, had fridges , robes & slippers. Well appointed bathrooms. The communal spaces were good, with a busy bar but plenty of seating. The bedrooms were a long way from the reception areas, but were quiet. The hotel was obviously very busy. This resulted in queues at breakfast & running out of food items. There was also a long queue at check out. Minor points that didn't detract from an otherwise good stay. ",,https://www.tripadvisor.co.uk/Profile/Leeder47,Leeder47 wrote a review Dec 2018,Leeder47,"Duffield, United Kingdom",398 contributions,192 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642287646-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Great Central Location,Date of stay: December 2018,,,,
"We have just spent a couple of nights here as a family of 4. The shared room was a very good size with excellent facilities. It looked like it had been refurbished and was lovely and clean. The location is great ... a few minutes from the quay, shops, restaurants etc....the staff are friendly, polite and accommodating  The only reason this didn’t get a 5 from us is that the pool was out of action for most of our trip. This was for unforeseen circumstances but it was one of the reasons why we chose this hotel, so this was disappointing. The queue for breakfast was also long. Breakfast itself however was very good. We can recommend this hotel and would look at staying there again when next in the area.  ",,https://www.tripadvisor.co.uk/Profile/cjgeography,C James wrote a review Dec 2018,C James,"Melbourne, United Kingdom",86 contributions,48 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642265983-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Lots of positives - family stay,Date of stay: December 2018,,,,
"Ok, so when we check in the receptionist asked if we would like a room on a high floor or she had a “river view” room available. We choose the river view. The fact they cAll such a room river view is a joke. My partner had to point out the river as it was the size on a A4 paper and under a restaurant over the ground!!! Barely a river in sight. The room itself was nice and modern with lots of room.  The poor area wasn’t great either. Upon arrival the receptionist was missing. We decided to take towels from the side for him to appear and be very awkward with us. The changing rooms were dirty and small and the men’s were being renovated so the men had to use the gents toilets! The pool isn’t like the images on the their site and the gym is open to members and very, very tiny!   The",,https://www.tripadvisor.co.uk/Profile/CardiffBayTraveller,CardiffBayTraveller wrote a review Dec 2018,CardiffBayTraveller,Cardiff,66 contributions,66 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642218221-Bristol_Marriott_Royal_Hotel-Bristol_England.html,River view was a joke!,Date of stay: December 2018,,,,
"At 11:15, doors are closed. After buzzing, you then need to queue in line for 25’ to check in. They don’t find your reservations at once. Elevators don’t work. Wifi does not work. Probably more surprises to come. Marriott ? Come on. This does not rate a one star service. The sooner this sorry excuse of a hotel closes, hopefully from overabundance of disgruntled customers, the better off the Marriott chain will be.",,https://www.tripadvisor.co.uk/Profile/jdil,jdil wrote a review Dec 2018,jdil,paris,257 contributions,143 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r642090324-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Apalling,Date of stay: December 2018,"Response from Heidi M, Front Office Manager at Bristol Marriott Royal Hotel
Responded 28 Dec 2018",Responded 28 Dec 2018,"Good morning jdill,  We are sorry to hear that your arrival experience was not as good as expected. We have passed the feedback to the management of the respective teams and we will make sure that it doesn't happen again.  Kindest regards,",
